rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
94,CoRoT-7,CoRoT-7 c,2009,3.698,0.046,0,8.4,0.02643,2.83,0.253,0.026,2.04,,160.64,5275,4.5,-0.292,0.82,0.83,0.05,1.75
95,CoRoT-8,CoRoT-8 b,2010,6.21229,0.063,0,69.92,0.22,6.39,0.57,0.059,1.6,870,380,5080,4.58,-0.665,0.88,0.77,0.3,3
96,CoRoT-9,CoRoT-9 b,2009,95.272656,0.4021,0.133,266.9772,0.84,11.949,1.066,0.11,0.86,420,417.89,5625,4.54,-0.254,0.96,0.96,-0.01,6
97,CoRoTID 223977153,CoRoTID 223977153 b,2017,6.71837,0.071,,47.6745,0.15,6.389,0.57,0.059,1.1,938,586.2,5970,4.67,-0.155,1.08,0.79,0,
98,DE CVn,DE CVn b,2018,4098.1,5.75,0,3823.2733,12.0293,12.4,1.1,0.113,11,,30.55,3585.67,,,0.51,,,
99,DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,2013,246.36,0.36,0.345,9057.77,28.5,11.9,1.06,0.109,29.5,,20.77,,,,0.07,,,1
100,DH Tau,DH Tau b,2004,,330,,3496,11,30.264,2.7,0.277,0.693,2200,140,3751.5,,-0.569,0.33,0.27,,0.001
101,DP Leo,DP Leo b,2009,10220,8.19,0.39,1995.88832,6.28,12.7,1.14,0.117,5.35,,305.06,13500,,-2.4,0.69,0.01,,
102,DS Tuc A,DS Tuc A b,2019,8.138268,,0,413.179,1.3,5.7,0.509,0.052,,850,44.12,5428,4.6,-0.14,1.01,0.96,0,0.045
103,EPIC 201238110,EPIC 201238110 b,2019,28.1656,,,4.16,0.0131,1.87,0.167,0.017,3.5,,159.98,3588,,,0.41,,,
104,EPIC 201497682,EPIC 201497682 b,2019,2.13174,,,0.26,0.00082,0.692,0.062,0.006,4.31,,254.88,4991,,-0.766,0.78,0.55,,
105,K2-166,EPIC 201615463 c,2019,3.80464,,,1.98,0.00624,1.22,0.109,0.011,5.99,,481,5942.5,4.09,0.458,1.07,1.6,0.09,
106,K2-16,EPIC 201754305 d,2019,2.71578,,,1.08,0.0034,1.03,0.092,0.009,5.43,,338.19,4761,4.63,-0.761,0.67,0.54,-0.33,
107,K2-50,EPIC 201833600 c,2019,3.96151,,,0.972,0.00306,1,0.089,0.009,5.34,,259.33,4326,4.74,-0.874,0.61,0.63,,
108,EPIC 201841433,EPIC 201841433 b,2019,4.16959,,,1.37,0.0043,1.1,0.098,0.01,5.66,,441.94,5053,,-0.635,0.8,0.63,,
109,K2-168,EPIC 205950854 c,2019,8.050722,,,2.27,0.00714,1.31,0.117,0.012,5.55,961,245.56,5502.7,4.46,-0.176,0.88,0.83,-0.13,
110,EPIC 206024342,EPIC 206024342 b,2019,4.50756,,,3.53,0.0111,1.7,0.152,0.016,3.95,,373.81,5769.5,,-0.17,0.93,0.82,,
111,EPIC 206032309,EPIC 206032309 b,2019,2.87814,,,1.01,0.00317,1.01,0.09,0.009,5.39,,162.09,3550.11,,,0.22,,,
112,EPIC 206042996,EPIC 206042996 b,2019,5.29711,,,3.26,0.0102,1.62,0.145,0.015,4.21,,457.27,4018.74,,-0.98,0.56,0.67,,
113,EPIC 206215704,EPIC 206215704 b,2019,2.25372,,,0.666,0.0021,0.9,0.08,0.008,5.02,,110.22,3637.57,,,0.41,,,
114,EPIC 206317286,EPIC 206317286 b,2019,1.58252,,,0.84,0.00264,0.96,0.086,0.009,5.22,,317.2,5014.67,,-0.593,0.71,0.67,,
115,EPIC 211822797,EPIC 211822797 b,2016,21.169861,0.131,0.06,4.58,0.0144,1.98,0.177,0.018,3.24,,187.19,4148.21,,-1.113,0.66,0.57,0.14,0.79
116,EPIC 211945201,EPIC 211945201 b,2018,19.49221,0.1493,0,27,0.08495,5.76,0.514,0.053,0.65,817,182.69,6069,4.22,0.369,1.17,1.39,0.1,3.99
117,EPIC 212297394,EPIC 212297394 b,2019,2.28943,,,2.31,0.00727,1.323,0.118,0.012,5.48,,423.35,4987.49,,-0.505,0.83,0.75,,
118,EPIC 212424622,EPIC 212424622 b,2019,18.0983,,,5.35,0.0168,2.17,0.194,0.02,2.88,,622.67,5782.33,,0.179,1.11,1.22,,
119,EPIC 212499991,EPIC 212499991 b,2019,34.885,,,3.19,0.01,1.6,0.143,0.015,4.28,,285.61,4982.79,,-0.497,0.91,0.76,,
120,EPIC 212587672,EPIC 212587672 b,2019,15.2841,,,1.46,0.00459,1.12,0.1,0.01,5.71,,322.88,5864.75,,0.006,0.95,0.98,,
121,EPIC 212737443,EPIC 212737443 b,2019,13.603,0.098,0.2,7.2,0.0227,2.586,0.231,0.024,2.29,536,347.45,4684,4.62,-0.804,0.69,0.67,-0.137,
122,EPIC 212737443,EPIC 212737443 c,2019,65.55,0.28,0.2,7.7,0.0242,2.69,0.24,0.025,2.17,316,347.45,4684,4.62,-0.804,0.69,0.67,-0.137,
123,K2-282,EPIC 220554210 c,2019,0.70531,,,2.79,0.00879,1.48,0.132,0.014,4.73,,502.28,5523,4.47,-0.215,0.94,0.94,0.15,
124,EPIC 220674823,EPIC 220674823 b,2016,0.571331,0.0134,0,7.72,0.02429,1.82,0.162,0.017,8.5,2119,246.1,5617,4.45,-0.11,0.97,0.98,0.13,5
125,EPIC 220674823,EPIC 220674823 c,2016,13.339079,0.1091,0.18,5.8,0.01825,2.73,0.244,0.025,2,741,246.1,5617,4.45,-0.11,0.97,0.98,0.13,5
126,EPIC 246851721,EPIC 246851721 b,2018,6.180235,0.07229,,953.49,3,11.781,1.051,0.108,3.1,1401,336.7,6202,4.16,0.526,1.32,1.59,0.141,3.02
127,EPIC 248847494,EPIC 248847494 b,2018,3650,4.5,0,4131.79,13,12.442,1.11,0.114,,183,560,4898,3.52,0.548,0.9,2.7,-0.23,
128,FU Tau,FU Tau b,2008,,800,,5085.28,16,12.2,1.09,0.112,15.4,2375,140,2838,,-0.699,0.05,,,0.001
129,Fomalhaut,Fomalhaut b,2008,555530,160,0.87,826.3,2.6,13.5,1.2,0.123,1.85,,7.7,8399,4.14,1.217,1.92,1.92,,0.2
130,GJ 1132,GJ 1132 b,2015,1.628931,0.0153,0.22,1.66,0.00522,1.16,0.103,0.011,6.3,529,12.62,3270,4.88,-2.359,0.18,0.21,-0.12,5
131,GJ 1132,GJ 1132 c,2018,8.929,0.0476,0.27,2.64,0.00831,1.43,0.128,0.013,4.96,300,12.62,3270,4.88,-2.359,0.18,0.21,-0.12,5
132,GJ 1148,GJ 1148 b,2010,41.38,0.166,0.38,96.7,0.30425,11.9,1.07,0.109,0.315,,11.02,3264,,-1.699,0.35,0.4,,
133,GJ 1148,GJ 1148 c,2017,532.58,0.912,0.342,68.06,0.21414,9.71,0.866,0.089,0.409,,11.02,3264,,-1.699,0.35,0.4,,
